제목,장르,국가,시간,평점,영화장르,상영시간
베테랑2,액션,대한민국,118분,6.61,,
비긴 어게인,드라마,미국,104분,9.12,,
대도시의 사랑법,드라마,대한민국,118분,,,
룩백,드라마,일본,57분,9.13,,
에이리언 : 로물루스,공포,"영국, 미국",119분,8.74,,
"안녕, 할부지",다큐멘터리,대한민국,95분,8.61,,
소년시절의 너,멜로/로맨스,중국,135분,9.05,,
임영웅 | 아임 히어로 더 스타,공연실황,대한민국,108분,9.77,,
브레드이발소 : 빵스타의 탄생,애니메이션,대한민국,77분,9.6,,
사랑의 하츄핑,애니메이션,대한민국,86분,8.73,,
파일럿,코미디,대한민국,111분,7.7,,
우리가 끝이야,멜로/로맨스,미국,130분,7.94,,
새벽의 모든,드라마,일본,119분,8.16,,
정국 : 아이 엠 스틸,공연실황,대한민국,94분,9.97,,
극장총집편 봇치 더 록! 전편,애니메이션,일본,90분,8.28,,
영화A,,대한민국,,8.5,액션,110.0
영화B,,미국,,7.9,드라마,95.0
