Food Name,Category Name,Calcium,Calories,Omega-3 - DHA,Protein,Vitamin A,Vitamin B1,Vitamin C,Sugar,Vitamin D,Vitamin E
Apple,Fruits,6,52,0.0,26,54.0,2.0,46,10.0,0.0,18.0
Avocado,Fruits,12,160,0.0,2,146.0,7.0,10,66.0,0.0,21.0
Banana,Fruits,5,89,0.0,11,64.0,3.0,87,12.0,0.0,1.0
Blackberry,Fruits,29,43,0.0,14,214.0,2.0,21,49.0,0.0,12.0
Blueberry,Fruits,6,57,0.0,74,54.0,4.0,97,10.0,0.0,57.0
Cherry,Fruits,16,50,0.0,1,1283.0,3.0,10,85.0,0.0,7.0
Cranberry,Fruits,8,46,0.0,46,63.0,1.0,14,43.0,0.0,13.0
Dates,Fruits,39,282,0.0,25,10.0,5.0,4,63.0,0.0,5.0
Grape,Fruits,14,67,0.0,63,100.0,9.0,4,16.0,0.0,19.0
Guava,Fruits,18,68,0.0,26,624.0,7.0,228,89.0,0.0,73.0
Kiwifruit,Fruits,34,61,0.0,11,87.0,3.0,93,9.0,0.0,15.0
Lemon,Fruits,26,29,0.0,11,22.0,4.0,53,25.0,0.0,15.0
Lime,Fruits,33,30,0.0,7,50.0,3.0,29,17.0,0.0,22.0
Mango,Fruits,11,60,0.0,82,1082.0,3.0,36,14.0,0.0,9.0
Melon,Fruits,11,28,0.0,11,0.0,2.0,22,57.0,0.0,5.0
Orange,Fruits,40,47,0.0,94,225.0,9.0,53,94.0,0.0,18.0
Mandarin orange,Fruits,37,53,0.0,81,681.0,6.0,27,11.0,0.0,2.0
Papaya,Fruits,20,43,0.0,47,950.0,2.0,61,78.0,0.0,3.0
Peach,Fruits,6,39,0.0,91,326.0,2.0,66,84.0,0.0,73.0
Pear,Fruits,9,57,0.0,36,25.0,1.0,43,98.0,0.0,12.0
Pineapple,Fruits,13,50,0.0,54,58.0,8.0,48,99.0,0.0,2.0
Prunes,Fruits,43,240,0.0,22,781.0,5.0,6,38.0,0.0,43.0
Rambutan,Fruits,22,82,,65,3.0,1.0,49,,,
Strawberry,Fruits,16,32,0.0,67,12.0,2.0,59,49.0,0.0,29.0
Watermelon,Fruits,7,30,0.0,61,569.0,3.0,81,62.0,0.0,5.0
Sour cherry,Fruits,11,42,,69,,3.0,3,7.0,,
Durian,Fruits,6,147,,15,44.0,37.0,20,,,
Crateva religiosa,Fruits,8,69,,15,100.0,,54,86.0,,
Clementine,Fruits,30,47,,85,,9.0,49,92.0,0.0,2.0
Coconut,Fruits,14,354,0.0,33,0.0,7.0,33,62.0,0.0,24.0
Rose hip,Fruits,169,162,,16,4345.0,2.0,426,26.0,,58.0
Green bean,Vegetables,44,35,0.0,19,633.0,7.0,97,36.0,0.0,46.0
Broccoli,Vegetables,47,34,0.0,28,623.0,7.0,89,17.0,0.0,78.0
Cabbage,Vegetables,40,25,0.0,13,98.0,6.0,37,32.0,0.0,15.0
Carrot,Vegetables,33,41,0.0,93,16706.0,7.0,59,47.0,0.0,66.0
Cauliflower,Vegetables,22,25,0.0,19,0.0,5.0,48,19.0,0.0,8.0
Corn,Vegetables,3,96,0.0,34,263.0,9.0,55,45.0,0.0,9.0
Cucumber,Vegetables,16,15,0.0,65,105.0,3.0,28,17.0,0.0,3.0
Garlic,Vegetables,181,149,0.0,64,9.0,2.0,31,1.0,0.0,8.0
Ginger,Vegetables,16,80,0.0,18,0.0,3.0,5,17.0,0.0,26.0
Okra,Vegetables,82,33,0.0,19,716.0,2.0,23,15.0,0.0,27.0
Onion,Vegetables,23,40,0.0,11,2.0,5.0,74,42.0,0.0,2.0
Sweet onion,Vegetables,20,32,,8,1.0,4.0,48,5.0,0.0,2.0
Onion rings,Vegetables,31,276,0.0,41,0.0,19.0,16,51.0,0.0,46.0
Red potato,Vegetables,9,89,0.0,23,10.0,7.0,13,14.0,0.0,8.0
Pumpkin,Vegetables,15,20,0.0,72,5755.0,3.0,47,21.0,0.0,8.0
Seaweed,Vegetables,168,43,0.0,17,116.0,5.0,3,6.0,0.0,87.0
Sweet potato,Vegetables,38,90,0.0,2,19218.0,11.0,20,65.0,0.0,71.0
Taro,Vegetables,43,112,0.0,15,76.0,1.0,45,4.0,0.0,24.0
Tomato,Vegetables,10,18,0.0,88,833.0,4.0,14,26.0,0.0,54.0
